projectName,feedbackQuestionName,dateStart,dateEnd,userEmail,checkedAnswer,textAnswer
Wheeler and Sons Initiative,Rate the accuracy of the project budget estimation from 1 to 5,24-04-2022,30-04-2022,vasquezkaren@example.net,2.0,
"Hill, Hernandez and Jones Project",How would you rate the problem-solving skills of the team?,04-06-2023,10-06-2023,nelsonsarah@example.com,5.0,
"Roberts, Brown and Lee Initiative",Were the project goals clearly defined? Please rate from 1 to 5,28-08-2022,03-09-2022,thompsonluke@example.com,2.0,Excellent
Smith PLC Project,Were the project risks effectively managed? Please rate from 1 to 5,04-06-2023,10-06-2023,christina24@example.com,5.0,
Watson-Mcdowell Project,Were the project goals clearly defined? Please rate from 1 to 5,30-07-2023,05-08-2023,silvastephanie@example.net,4.0,
Wheeler and Sons Initiative,How satisfied are you with the level of collaboration within the team?,08-01-2023,14-01-2023,morganbrianna@example.net,3.0,
Mckenzie and Sons Project,Rate the level of stakeholder engagement on a scale of 1 to 5,03-03-2024,09-03-2024,ihoffman@example.com,2.0,Poor
"Roberts, Brown and Lee Initiative",Rate the level of stakeholder engagement on a scale of 1 to 5,26-06-2022,02-07-2022,coreyjohnson@example.org,1.0,
Watson-Mcdowell Project,Rate the accuracy of the project budget estimation from 1 to 5,28-08-2022,03-09-2022,hthomas@example.net,2.0,
"Hernandez, Smith and Lee Project",Rate the level of innovation demonstrated in the project from 1 to 5,02-07-2023,08-07-2023,ramirezanne@example.org,,
Carpenter-Holmes Project,Rate the level of stakeholder engagement on a scale of 1 to 5,26-03-2023,01-04-2023,lisa97@example.com,5.0,
"Ayala, Sexton and Casey Solution",Were the project goals clearly defined? Please rate from 1 to 5,17-12-2023,23-12-2023,michelle51@example.com,1.0,
"Jones, Meyer and Smith Solution",How satisfied are you with the level of collaboration within the team?,08-05-2022,14-05-2022,eric18@example.com,1.0,
"Barron, Brown and Hicks Project",Were the project resources allocated efficiently? Please rate from 1 to 5,12-02-2023,18-02-2023,jasonpacheco@example.org,3.0,
Stewart Group Initiative,How satisfied are you with the overall progress of the project?,13-11-2022,19-11-2022,prattthomas@example.org,3.0,
Johnson-Duncan Initiative,How satisfied are you with the level of transparency in project communication?,18-06-2023,24-06-2023,nicholas91@example.org,2.0,
Green Ltd Project,How would you rate the problem-solving skills of the team?,30-10-2022,05-11-2022,ywolf@example.com,2.0,
Saunders LLC Solution,How would you rate the level of client satisfaction with the project outcomes?,26-03-2023,01-04-2023,shawn53@example.com,4.0,
Dennis LLC Project,Were the project goals clearly defined? Please rate from 1 to 5,14-08-2022,20-08-2022,joserobertson@example.net,3.0,
"Lopez, Bradley and Sharp Initiative",Were the project goals clearly defined? Please rate from 1 to 5,25-06-2023,01-07-2023,april55@example.org,5.0,Excellent
Wheeler and Sons Initiative,Rate the communication between team members on a scale of 1 to 5,29-05-2022,04-06-2022,meganbentley@example.net,2.0,
Green Ltd Project,Did the project meet the specified deadlines? Please rate from 1 to 5,16-07-2023,22-07-2023,anthonyjulie@example.org,1.0,
"Castillo, Frey and Stewart Project",Did you find the project timeline realistic? Please rate from 1 to 5,17-03-2024,23-03-2024,patrickbrooke@example.net,2.0,
Barnett-Harris Initiative,Did the project meet your expectations? Please rate from 1 to 5,25-06-2023,01-07-2023,michaelhaney@example.net,1.0,
"Roberts, Brown and Lee Initiative",Rate the level of adaptability shown by the team members on a scale of 1 to 5,03-09-2023,09-09-2023,ihoffman@example.com,2.0,
Vargas Group Solution,Did you find the project timeline realistic? Please rate from 1 to 5,31-07-2022,06-08-2022,david95@example.net,5.0,
"Thompson, Adkins and Harris Initiative",How satisfied are you with the overall progress of the project?,30-04-2023,06-05-2023,msparks@example.com,1.0,
"Jones, Meyer and Smith Solution",How would you rate the level of client satisfaction with the project outcomes?,05-03-2023,11-03-2023,bensonclarence@example.com,,
"Castillo, Frey and Stewart Project",Did the project meet the specified deadlines? Please rate from 1 to 5,14-08-2022,20-08-2022,derrick94@example.com,,
"Hill, Hernandez and Jones Project",How would you rate the level of client satisfaction with the project outcomes?,29-01-2023,04-02-2023,michaeldavis@example.com,,
Barnett-Harris Initiative,Were the project resources allocated efficiently? Please rate from 1 to 5,07-05-2023,13-05-2023,matthew53@example.org,1.0,Good
"Hill, Hernandez and Jones Project",How satisfied are you with the project deliverables?,12-03-2023,18-03-2023,cfisher@example.org,4.0,
"Hill, Hernandez and Jones Project",Rate the communication between team members on a scale of 1 to 5,21-01-2024,27-01-2024,barrywelch@example.net,4.0,
"Roberts, Brown and Lee Initiative",How satisfied are you with the level of collaboration within the team?,10-09-2023,16-09-2023,williamcameron@example.com,,
"Castillo, Frey and Stewart Project",Rate the effectiveness of the project feedback mechanisms on a scale of 1 to 5,07-08-2022,13-08-2022,candice94@example.com,2.0,
Smith PLC Project,Rate the effectiveness of the project management on a scale of 1 to 5,14-01-2024,20-01-2024,sbrown@example.org,4.0,
Watson-Mcdowell Project,How satisfied are you with the level of collaboration within the team?,31-12-2023,06-01-2024,muellergerald@example.com,1.0,
"Barron, Brown and Hicks Project",Rate the accuracy of the project budget estimation from 1 to 5,21-05-2023,27-05-2023,priceheidi@example.com,2.0,
Ward Ltd Project,How satisfied are you with the level of collaboration within the team?,04-02-2024,10-02-2024,markjohnson@example.net,3.0,Fair
Randall-Reyes Initiative,How would you rate the problem-solving skills of the team?,25-12-2022,31-12-2022,cmorse@example.com,3.0,
Mccarthy Group Initiative,How satisfied are you with the overall progress of the project?,12-06-2022,18-06-2022,deandavid@example.org,1.0,
Parker-Osborn Project,Were the project resources allocated efficiently? Please rate from 1 to 5,03-09-2023,09-09-2023,anthonybates@example.com,3.0,Excellent
Watson-Mcdowell Project,Rate the accuracy of the project budget estimation from 1 to 5,19-06-2022,25-06-2022,austin53@example.org,4.0,
"Castillo, Frey and Stewart Project",Rate the accuracy of the project budget estimation from 1 to 5,06-11-2022,12-11-2022,ocontreras@example.com,5.0,
Barnett-Harris Initiative,Did the project meet the specified deadlines? Please rate from 1 to 5,18-09-2022,24-09-2022,steven22@example.com,5.0,Good
Stewart Group Initiative,How satisfied are you with the level of collaboration within the team?,04-06-2023,10-06-2023,estewart@example.org,,
"Barron, Brown and Hicks Project",How satisfied are you with the project deliverables?,19-03-2023,25-03-2023,brendan66@example.com,2.0,
"French, Perez and Hernandez Solution",Rate the level of adaptability shown by the team members on a scale of 1 to 5,23-10-2022,29-10-2022,ckennedy@example.net,5.0,Average
"Roberts, Brown and Lee Initiative",Did you find the project timeline realistic? Please rate from 1 to 5,31-07-2022,06-08-2022,silvabrandon@example.org,,
Wheeler and Sons Initiative,How satisfied are you with the project deliverables?,11-12-2022,17-12-2022,michael76@example.com,5.0,Fair
Green Ltd Project,Rate the effectiveness of the project management on a scale of 1 to 5,11-06-2023,17-06-2023,james65@example.com,1.0,
Watson-Mcdowell Project,Were the project risks effectively managed? Please rate from 1 to 5,09-10-2022,15-10-2022,alyssaking@example.com,5.0,
Vargas Group Solution,Rate the level of innovation demonstrated in the project from 1 to 5,26-06-2022,02-07-2022,pprice@example.com,3.0,
Wheeler and Sons Initiative,Rate the level of stakeholder engagement on a scale of 1 to 5,24-07-2022,30-07-2022,emilyirwin@example.org,2.0,
Watson-Mcdowell Project,Rate the level of innovation demonstrated in the project from 1 to 5,01-05-2022,07-05-2022,osbornelizabeth@example.net,1.0,
"French, Perez and Hernandez Solution",Rate the accuracy of the project budget estimation from 1 to 5,18-06-2023,24-06-2023,ysmith@example.com,3.0,
Randall-Reyes Initiative,How would you rate the level of client satisfaction with the project outcomes?,12-02-2023,18-02-2023,paul03@example.org,3.0,
"Roberts, Brown and Lee Initiative",How satisfied are you with the level of transparency in project communication?,25-12-2022,31-12-2022,stephenstewart@example.org,4.0,
"Castillo, Frey and Stewart Project",Rate the effectiveness of the project management on a scale of 1 to 5,24-07-2022,30-07-2022,crystal60@example.com,3.0,
Mccarthy Group Initiative,Rate the communication between team members on a scale of 1 to 5,04-06-2023,10-06-2023,jerry34@example.org,2.0,Good
Middleton Ltd Project,Rate the level of stakeholder engagement on a scale of 1 to 5,07-05-2023,13-05-2023,taylordebra@example.org,3.0,
"Roberts, Brown and Lee Initiative",Rate the level of adaptability shown by the team members on a scale of 1 to 5,08-01-2023,14-01-2023,johnsontina@example.net,1.0,Average
"Jones, Meyer and Smith Solution",How would you rate the quality of work delivered by the team?,29-05-2022,04-06-2022,brent29@example.org,1.0,Average
Colon-Oconnor Solution,Were the project resources allocated efficiently? Please rate from 1 to 5,28-05-2023,03-06-2023,hollybrown@example.com,1.0,
"Thompson, Adkins and Harris Initiative",Rate the level of adaptability shown by the team members on a scale of 1 to 5,07-04-2024,13-04-2024,austin53@example.org,2.0,
Campbell Inc Initiative,How would you rate the quality of work delivered by the team?,19-03-2023,25-03-2023,burkerussell@example.org,3.0,
Saunders LLC Solution,How would you rate the problem-solving skills of the team?,08-10-2023,14-10-2023,candice94@example.com,,
"Hernandez, Smith and Lee Project",Were the project risks effectively managed? Please rate from 1 to 5,23-07-2023,29-07-2023,hparsons@example.com,,
Frey LLC Solution,How would you rate the problem-solving skills of the team?,14-05-2023,20-05-2023,fherrera@example.net,5.0,Average
"Barron, Brown and Hicks Project",Did the project meet the specified deadlines? Please rate from 1 to 5,07-08-2022,13-08-2022,ayerstravis@example.net,5.0,
Olson-Craig Solution,Did you find the project timeline realistic? Please rate from 1 to 5,14-05-2023,20-05-2023,emyers@example.net,3.0,
"Jones, Meyer and Smith Solution",Rate the level of stakeholder engagement on a scale of 1 to 5,26-02-2023,04-03-2023,courtneymccarthy@example.org,4.0,
Frey LLC Solution,Rate the level of stakeholder engagement on a scale of 1 to 5,04-09-2022,10-09-2022,ohall@example.org,,
Green Ltd Project,Did the project meet the specified deadlines? Please rate from 1 to 5,02-04-2023,08-04-2023,briananderson@example.com,,Average
Watson-Mcdowell Project,Did the project meet your expectations? Please rate from 1 to 5,26-11-2023,02-12-2023,morenoedward@example.net,5.0,
"Ayala, Sexton and Casey Solution",Rate the effectiveness of the project feedback mechanisms on a scale of 1 to 5,02-04-2023,08-04-2023,lisa41@example.org,5.0,
Olson-Craig Solution,Were the project resources allocated efficiently? Please rate from 1 to 5,22-05-2022,28-05-2022,penamichele@example.org,4.0,
Frey LLC Solution,How would you rate the level of client satisfaction with the project outcomes?,17-03-2024,23-03-2024,alanmurphy@example.com,5.0,
"Hernandez, Smith and Lee Project",Rate the level of stakeholder engagement on a scale of 1 to 5,21-01-2024,27-01-2024,vlawson@example.org,,
"Thompson, Adkins and Harris Initiative",Rate the communication between team members on a scale of 1 to 5,17-12-2023,23-12-2023,ashley57@example.org,4.0,Excellent
Vargas Group Solution,Did the project meet the specified deadlines? Please rate from 1 to 5,22-01-2023,28-01-2023,lucasgriffith@example.org,3.0,
"Jones, Meyer and Smith Solution",Were the project risks effectively managed? Please rate from 1 to 5,10-07-2022,16-07-2022,emilythomas@example.com,1.0,
Olson-Craig Solution,How would you rate the quality of work delivered by the team?,24-07-2022,30-07-2022,ngonzalez@example.com,5.0,Good
Dennis LLC Project,How satisfied are you with the level of collaboration within the team?,03-09-2023,09-09-2023,ccarrillo@example.com,4.0,
Chaney Inc Solution,Rate the effectiveness of the project feedback mechanisms on a scale of 1 to 5,29-05-2022,04-06-2022,ehorn@example.com,,
Chaney Inc Solution,Rate the effectiveness of the project feedback mechanisms on a scale of 1 to 5,10-07-2022,16-07-2022,lisa95@example.net,2.0,
Frey LLC Solution,Rate the effectiveness of the project feedback mechanisms on a scale of 1 to 5,21-05-2023,27-05-2023,mpatterson@example.com,,
Saunders LLC Solution,How would you rate the problem-solving skills of the team?,24-03-2024,30-03-2024,valerieelliott@example.org,4.0,
Middleton Ltd Project,Did you find the project timeline realistic? Please rate from 1 to 5,03-09-2023,09-09-2023,jeffreywoods@example.org,,
Middleton Ltd Project,Rate the accuracy of the project budget estimation from 1 to 5,17-03-2024,23-03-2024,patricia79@example.com,4.0,
"Roberts, Brown and Lee Initiative",Rate the level of stakeholder engagement on a scale of 1 to 5,10-07-2022,16-07-2022,sboone@example.com,3.0,
Stanton-Pollard Project,Rate the effectiveness of the project feedback mechanisms on a scale of 1 to 5,01-01-2023,07-01-2023,clee@example.org,3.0,
Carpenter-Holmes Project,Rate the communication between team members on a scale of 1 to 5,12-06-2022,18-06-2022,vrivera@example.net,1.0,
Campbell Inc Initiative,Did the project meet your expectations? Please rate from 1 to 5,07-08-2022,13-08-2022,tiffany65@example.net,2.0,
Middleton Ltd Project,Rate the level of innovation demonstrated in the project from 1 to 5,24-04-2022,30-04-2022,waynegarcia@example.com,4.0,
Randall-Reyes Initiative,How would you rate the problem-solving skills of the team?,05-03-2023,11-03-2023,glenoneal@example.com,3.0,
Vargas Group Solution,How would you rate the level of client satisfaction with the project outcomes?,04-06-2023,10-06-2023,steven76@example.com,4.0,
"Hernandez, Smith and Lee Project",Were the project goals clearly defined? Please rate from 1 to 5,08-10-2023,14-10-2023,carl90@example.org,,
"Thompson, Adkins and Harris Initiative",How satisfied are you with the project deliverables?,31-03-2024,06-04-2024,jrobinson@example.net,,
Vargas Group Solution,Were the project resources allocated efficiently? Please rate from 1 to 5,02-04-2023,08-04-2023,xcastaneda@example.com,3.0,
"Jones, Meyer and Smith Solution",Rate the accuracy of the project budget estimation from 1 to 5,06-08-2023,12-08-2023,turnersheri@example.net,1.0,Excellent
Vargas Group Solution,Rate the level of innovation demonstrated in the project from 1 to 5,12-03-2023,18-03-2023,haley48@example.org,1.0,Fair
Stewart Group Initiative,Rate the level of adaptability shown by the team members on a scale of 1 to 5,24-04-2022,30-04-2022,ericsmith@example.org,2.0,
"Barron, Brown and Hicks Project",Rate the accuracy of the project budget estimation from 1 to 5,17-09-2023,23-09-2023,wrightmichael@example.org,2.0,Poor
"Francis, Quinn and Cook Initiative",How would you rate the problem-solving skills of the team?,09-04-2023,15-04-2023,robin50@example.org,5.0,
Watson-Mcdowell Project,Were the project goals clearly defined? Please rate from 1 to 5,12-03-2023,18-03-2023,roberto60@example.org,3.0,
Olson-Craig Solution,Did the project meet your expectations? Please rate from 1 to 5,17-04-2022,23-04-2022,obrown@example.com,3.0,
Olson-Craig Solution,Did you find the project timeline realistic? Please rate from 1 to 5,26-03-2023,01-04-2023,carrie98@example.com,2.0,
"Castillo, Frey and Stewart Project",Rate the communication between team members on a scale of 1 to 5,28-08-2022,03-09-2022,christine56@example.org,4.0,
Allison and Sons Project,Did the project meet your expectations? Please rate from 1 to 5,02-04-2023,08-04-2023,jray@example.com,1.0,
Campbell Inc Initiative,Rate the level of adaptability shown by the team members on a scale of 1 to 5,01-10-2023,07-10-2023,burtonchristina@example.com,1.0,
Ward Ltd Project,Did the project meet the specified deadlines? Please rate from 1 to 5,31-07-2022,06-08-2022,moniquefowler@example.com,3.0,
Green Ltd Project,Were the project risks effectively managed? Please rate from 1 to 5,17-07-2022,23-07-2022,ernest25@example.com,3.0,
Saunders LLC Solution,How satisfied are you with the level of collaboration within the team?,02-07-2023,08-07-2023,daisy13@example.net,2.0,Poor
"Francis, Quinn and Cook Initiative",How would you rate the problem-solving skills of the team?,04-12-2022,10-12-2022,erose@example.net,1.0,
Schneider-Tyler Solution,Did the project meet your expectations? Please rate from 1 to 5,10-04-2022,16-04-2022,julie07@example.com,1.0,Average
Dennis LLC Project,How satisfied are you with the level of collaboration within the team?,09-04-2023,15-04-2023,mike89@example.org,5.0,
"Taylor, Elliott and Trevino Solution",Rate the accuracy of the project budget estimation from 1 to 5,23-07-2023,29-07-2023,garnermelissa@example.org,1.0,
"Jones, Meyer and Smith Solution",How would you rate the quality of work delivered by the team?,16-10-2022,22-10-2022,matthewnguyen@example.net,,
Saunders LLC Solution,Rate the effectiveness of the project feedback mechanisms on a scale of 1 to 5,20-08-2023,26-08-2023,kennethallen@example.com,2.0,Average
Barnett-Harris Initiative,How would you rate the level of client satisfaction with the project outcomes?,11-12-2022,17-12-2022,msilva@example.org,,
Stewart Group Initiative,Rate the accuracy of the project budget estimation from 1 to 5,08-01-2023,14-01-2023,burkerussell@example.org,2.0,
Vargas Group Solution,Rate the level of stakeholder engagement on a scale of 1 to 5,24-07-2022,30-07-2022,michele56@example.net,,
"Roberts, Brown and Lee Initiative",How would you rate the quality of work delivered by the team?,24-07-2022,30-07-2022,michelledavis@example.net,5.0,
Chaney Inc Solution,How satisfied are you with the level of transparency in project communication?,24-03-2024,30-03-2024,elizabethjames@example.org,,
Campbell Inc Initiative,How would you rate the problem-solving skills of the team?,20-11-2022,26-11-2022,tfranco@example.com,1.0,
Andrews Inc Project,Did the project meet your expectations? Please rate from 1 to 5,09-10-2022,15-10-2022,george52@example.com,,
Watson-Mcdowell Project,How satisfied are you with the project deliverables?,11-06-2023,17-06-2023,phillipmorales@example.com,1.0,
Watson-Mcdowell Project,How would you rate the quality of work delivered by the team?,02-10-2022,08-10-2022,vrobertson@example.org,2.0,
Watson-Mcdowell Project,Rate the effectiveness of the project feedback mechanisms on a scale of 1 to 5,13-08-2023,19-08-2023,lramirez@example.com,4.0,
Solis-Smith Project,Rate the accuracy of the project budget estimation from 1 to 5,07-08-2022,13-08-2022,matthewlopez@example.org,,
Ross and Sons Solution,Rate the communication between team members on a scale of 1 to 5,21-01-2024,27-01-2024,scott19@example.com,,
Schneider-Tyler Solution,Rate the effectiveness of the project management on a scale of 1 to 5,12-11-2023,18-11-2023,ryoung@example.org,1.0,
"Hill, Hernandez and Jones Project",Did the project meet your expectations? Please rate from 1 to 5,09-04-2023,15-04-2023,johnsonmary@example.org,5.0,
Watson-Mcdowell Project,Rate the accuracy of the project budget estimation from 1 to 5,27-08-2023,02-09-2023,williamsonjeffrey@example.com,4.0,
"Cook, Campbell and Campbell Project",How satisfied are you with the overall progress of the project?,12-03-2023,18-03-2023,sboone@example.com,,
"Hernandez, Smith and Lee Project",Rate the effectiveness of the project feedback mechanisms on a scale of 1 to 5,02-07-2023,08-07-2023,hbrown@example.org,4.0,
Smith LLC Initiative,Rate the communication between team members on a scale of 1 to 5,29-05-2022,04-06-2022,rose50@example.com,,
Wheeler and Sons Initiative,How satisfied are you with the overall progress of the project?,15-05-2022,21-05-2022,patricia91@example.org,1.0,Average
Allison and Sons Project,How would you rate the level of client satisfaction with the project outcomes?,17-09-2023,23-09-2023,armstrongwayne@example.org,5.0,
Randall-Reyes Initiative,Did you find the project timeline realistic? Please rate from 1 to 5,23-07-2023,29-07-2023,richardfreeman@example.org,1.0,
Wheeler and Sons Initiative,How would you rate the quality of work delivered by the team?,17-03-2024,23-03-2024,ehawkins@example.org,,Good
"Castillo, Frey and Stewart Project",How would you rate the quality of work delivered by the team?,26-02-2023,04-03-2023,tyler28@example.net,2.0,
Green Ltd Project,Rate the effectiveness of the project feedback mechanisms on a scale of 1 to 5,05-03-2023,11-03-2023,tuckerelizabeth@example.net,4.0,
Parker-Osborn Project,Were the project risks effectively managed? Please rate from 1 to 5,05-03-2023,11-03-2023,richard86@example.org,5.0,
Wheeler and Sons Initiative,Rate the accuracy of the project budget estimation from 1 to 5,20-08-2023,26-08-2023,johnsonbrenda@example.com,3.0,
Carpenter-Holmes Project,How satisfied are you with the level of collaboration within the team?,17-03-2024,23-03-2024,chadbaker@example.org,2.0,
Stewart Group Initiative,Were the project resources allocated efficiently? Please rate from 1 to 5,05-11-2023,11-11-2023,richard16@example.org,3.0,
"Jones, Meyer and Smith Solution",Did the project meet your expectations? Please rate from 1 to 5,10-03-2024,16-03-2024,amber31@example.com,2.0,Poor
Barnett-Harris Initiative,Did the project meet the specified deadlines? Please rate from 1 to 5,27-08-2023,02-09-2023,mary02@example.net,5.0,Average
Smith LLC Initiative,Rate the communication between team members on a scale of 1 to 5,05-11-2023,11-11-2023,vgoodman@example.com,4.0,
"Hill, Hernandez and Jones Project",Were the project risks effectively managed? Please rate from 1 to 5,05-06-2022,11-06-2022,scottturner@example.org,3.0,
Mccarthy Group Initiative,How satisfied are you with the level of transparency in project communication?,11-06-2023,17-06-2023,anthonymurphy@example.org,4.0,
"Hernandez, Smith and Lee Project",Were the project resources allocated efficiently? Please rate from 1 to 5,21-05-2023,27-05-2023,fishercaleb@example.com,,
"Barron, Brown and Hicks Project",Rate the level of stakeholder engagement on a scale of 1 to 5,19-03-2023,25-03-2023,breanna49@example.com,,Good
"Francis, Quinn and Cook Initiative",Rate the effectiveness of the project feedback mechanisms on a scale of 1 to 5,04-12-2022,10-12-2022,garciaevan@example.com,3.0,Fair
"Jones, Meyer and Smith Solution",Did you find the project timeline realistic? Please rate from 1 to 5,26-02-2023,04-03-2023,mooretiffany@example.org,2.0,
"Hill, Hernandez and Jones Project",Were the project resources allocated efficiently? Please rate from 1 to 5,30-07-2023,05-08-2023,davidrichardson@example.net,2.0,
Green Ltd Project,Rate the level of innovation demonstrated in the project from 1 to 5,10-07-2022,16-07-2022,lbrooks@example.com,2.0,
Vargas Group Solution,How would you rate the level of client satisfaction with the project outcomes?,11-02-2024,17-02-2024,clayshawn@example.net,5.0,
"Castillo, Frey and Stewart Project",Did you find the project timeline realistic? Please rate from 1 to 5,07-04-2024,13-04-2024,wrightbrianna@example.com,3.0,
Stewart Group Initiative,How would you rate the problem-solving skills of the team?,17-07-2022,23-07-2022,david93@example.net,,
"Castillo, Frey and Stewart Project",Rate the effectiveness of the project feedback mechanisms on a scale of 1 to 5,10-12-2023,16-12-2023,walshashley@example.org,5.0,
Barnett-Harris Initiative,Rate the communication between team members on a scale of 1 to 5,24-07-2022,30-07-2022,anguyen@example.net,1.0,Fair
Vargas Group Solution,Were the project resources allocated efficiently? Please rate from 1 to 5,04-12-2022,10-12-2022,adavis@example.org,1.0,Fair
"Hernandez, Smith and Lee Project",Rate the communication between team members on a scale of 1 to 5,22-05-2022,28-05-2022,hendersonamber@example.com,1.0,
"Ayala, Sexton and Casey Solution",How satisfied are you with the project deliverables?,15-05-2022,21-05-2022,martinezscott@example.org,1.0,
"Hernandez, Smith and Lee Project",Were the project risks effectively managed? Please rate from 1 to 5,01-01-2023,07-01-2023,kathryn89@example.com,1.0,
"Jones, Meyer and Smith Solution",How would you rate the quality of work delivered by the team?,11-12-2022,17-12-2022,jamiechambers@example.net,4.0,
Carpenter-Holmes Project,Rate the level of stakeholder engagement on a scale of 1 to 5,09-04-2023,15-04-2023,gwolfe@example.org,3.0,Average
"Thompson, Adkins and Harris Initiative",How satisfied are you with the level of transparency in project communication?,04-06-2023,10-06-2023,ariel97@example.org,3.0,
"Castillo, Frey and Stewart Project",How satisfied are you with the level of transparency in project communication?,17-03-2024,23-03-2024,timothy62@example.org,3.0,
Carpenter-Holmes Project,Were the project risks effectively managed? Please rate from 1 to 5,06-11-2022,12-11-2022,huntergibbs@example.net,4.0,
Vargas Group Solution,How satisfied are you with the level of collaboration within the team?,15-10-2023,21-10-2023,stephanieyu@example.com,2.0,
Carpenter-Holmes Project,Rate the effectiveness of the project management on a scale of 1 to 5,07-08-2022,13-08-2022,anthonymurphy@example.org,,
Mckenzie and Sons Project,How would you rate the level of client satisfaction with the project outcomes?,14-05-2023,20-05-2023,anthonymurphy@example.org,,
"Jones, Meyer and Smith Solution",Rate the effectiveness of the project management on a scale of 1 to 5,22-10-2023,28-10-2023,halljill@example.net,5.0,Poor
"Barron, Brown and Hicks Project",Did the project meet your expectations? Please rate from 1 to 5,04-09-2022,10-09-2022,john08@example.org,4.0,
"Hernandez, Smith and Lee Project",Rate the communication between team members on a scale of 1 to 5,12-03-2023,18-03-2023,hollyjohnson@example.org,1.0,
Campbell Inc Initiative,Rate the effectiveness of the project feedback mechanisms on a scale of 1 to 5,07-04-2024,13-04-2024,arellanojennifer@example.com,5.0,Fair
Smith PLC Project,Rate the effectiveness of the project feedback mechanisms on a scale of 1 to 5,21-01-2024,27-01-2024,seth64@example.com,5.0,Fair
Wheeler and Sons Initiative,Rate the level of innovation demonstrated in the project from 1 to 5,24-04-2022,30-04-2022,odonnellolivia@example.com,1.0,
Ward Ltd Project,Rate the communication between team members on a scale of 1 to 5,11-12-2022,17-12-2022,ncastro@example.com,5.0,Good
Frey LLC Solution,Were the project resources allocated efficiently? Please rate from 1 to 5,01-05-2022,07-05-2022,hayestimothy@example.org,5.0,
Parker-Osborn Project,Rate the level of stakeholder engagement on a scale of 1 to 5,17-04-2022,23-04-2022,tonysheppard@example.com,1.0,
Clarke Inc Initiative,Were the project resources allocated efficiently? Please rate from 1 to 5,24-12-2023,30-12-2023,stephanieowens@example.com,2.0,
"Taylor, Elliott and Trevino Solution",Were the project resources allocated efficiently? Please rate from 1 to 5,15-01-2023,21-01-2023,nschmidt@example.com,2.0,
Andrews Inc Project,How satisfied are you with the project deliverables?,01-05-2022,07-05-2022,johnsontina@example.net,4.0,
Green Ltd Project,Were the project goals clearly defined? Please rate from 1 to 5,17-09-2023,23-09-2023,schmidtdeborah@example.net,3.0,Fair
Frey LLC Solution,How would you rate the quality of work delivered by the team?,28-05-2023,03-06-2023,lesterrobin@example.org,5.0,
Ross and Sons Solution,Were the project risks effectively managed? Please rate from 1 to 5,31-12-2023,06-01-2024,hernandezamy@example.com,1.0,
Colon-Oconnor Solution,How would you rate the problem-solving skills of the team?,10-04-2022,16-04-2022,greentimothy@example.com,4.0,
Carpenter-Holmes Project,How satisfied are you with the level of collaboration within the team?,21-05-2023,27-05-2023,simsdonald@example.org,2.0,
Parker-Osborn Project,How would you rate the level of client satisfaction with the project outcomes?,04-06-2023,10-06-2023,christophergarza@example.net,2.0,
"Thompson, Adkins and Harris Initiative",Did the project meet your expectations? Please rate from 1 to 5,21-08-2022,27-08-2022,ehill@example.org,1.0,
Ward Ltd Project,How satisfied are you with the level of collaboration within the team?,09-04-2023,15-04-2023,matthew56@example.net,1.0,
Stewart Group Initiative,Were the project resources allocated efficiently? Please rate from 1 to 5,01-01-2023,07-01-2023,hernandezjohn@example.org,,Fair
"Jones, Meyer and Smith Solution",Did the project meet the specified deadlines? Please rate from 1 to 5,11-09-2022,17-09-2022,anthonyjulie@example.org,2.0,
Ward Ltd Project,How satisfied are you with the overall progress of the project?,24-09-2023,30-09-2023,sean60@example.com,3.0,Poor
Wheeler and Sons Initiative,How satisfied are you with the project deliverables?,16-10-2022,22-10-2022,ronald44@example.net,4.0,
Vargas Group Solution,Rate the level of stakeholder engagement on a scale of 1 to 5,05-03-2023,11-03-2023,greenesean@example.net,3.0,
"Roberts, Brown and Lee Initiative",Did you find the project timeline realistic? Please rate from 1 to 5,01-01-2023,07-01-2023,robertcampbell@example.org,4.0,
Smith LLC Initiative,Did you find the project timeline realistic? Please rate from 1 to 5,11-09-2022,17-09-2022,jesse53@example.org,1.0,Excellent
Frey LLC Solution,Did the project meet the specified deadlines? Please rate from 1 to 5,16-04-2023,22-04-2023,ofloyd@example.com,3.0,Fair
"Roberts, Brown and Lee Initiative",How satisfied are you with the project deliverables?,18-06-2023,24-06-2023,millerpenny@example.com,2.0,
"Francis, Quinn and Cook Initiative",Were the project goals clearly defined? Please rate from 1 to 5,05-06-2022,11-06-2022,briannaterrell@example.net,1.0,
Olson-Craig Solution,How satisfied are you with the level of transparency in project communication?,24-04-2022,30-04-2022,mclaughlintammie@example.net,,
Schneider-Tyler Solution,Rate the level of innovation demonstrated in the project from 1 to 5,15-10-2023,21-10-2023,ramosangela@example.net,4.0,
Colon-Oconnor Solution,Rate the communication between team members on a scale of 1 to 5,12-06-2022,18-06-2022,millerpenny@example.com,5.0,Average
Middleton Ltd Project,Were the project risks effectively managed? Please rate from 1 to 5,03-07-2022,09-07-2022,xallen@example.net,2.0,
Ross and Sons Solution,How would you rate the level of client satisfaction with the project outcomes?,02-04-2023,08-04-2023,cwebb@example.org,4.0,
Frey LLC Solution,Rate the level of stakeholder engagement on a scale of 1 to 5,02-07-2023,08-07-2023,crandolph@example.com,3.0,
